"post","author","comment","upvotes"
"Slipknot in Rupauls drag race","","",""
"A sim getting an abortion","","",""
"Phil Swift Sawing a boat in Half","","",""
"Deadass partyfun","","",""
"beast boy as the vitruvian man","","",""
"Wojak trail cam","","",""
"nuclear explosion by van Gogh","","",""
"""Pull the video up. Oh woow you really sliced all those younglings? That's incredible""","","",""
"Man-made horrors beyond human comprehension","","",""
"guinea pig painted by roy lichtenstein","","",""
"jerma in the back rooms","","",""
"Akira Kurosawa's Samurai Turtles","","",""
"hmm......","","",""
"Darth Vader loves the beach","","",""
"Looks Fun","","",""
"big chungus painted by da vinci","","",""
"good AI","","",""
"batman in an advertisement for alcohol","","",""
"Bill Cosby is the Pope","","",""
"fisher price meth lab","","",""
"Darth Vader and Darth Maul having a princess tea party","","",""
"Liminal Spaces in star wars","","",""
"Darth Vader as a samurai","","",""
"Car made out of Eyeballs","","",""
"Dolly Parton Fighting A Balrog","","",""
"Harry Potter and the Wizard Of Oz","","",""
"No not getting those Hot Fuzz sketches. It's just the one sketch actually.","","",""
"the fbi arresting a bottle of ketchup","","",""
"Hitler Ted talk","","",""
"Dolly Parton Fighting A Balrog","","",""
"unchained melody","","",""
"cannabis plantation around the White House","","",""
"Rambo performing dead","","",""
"Walter White in Regular Show","","",""
"Genghis Khan conquering the basketball court","","",""
"Rambo performing live","","",""
"Sayings, idioms and colloquialisms #6","","",""
"a soccer player using a bazooka during a game","","",""
"Goths on CCTV outside of McDonald's","","",""
"Mario Mma","","",""
"Well this is something.","","",""
"donald trump kissing a tree","","",""
"“Let them fight”","","",""
"wombats being weird little sirs","","",""
"a Japanese castle sits on a hill overlooking the Grand Canyon","","",""
"Jake from State Farm Gigachad","","",""
"Forgot I wasn’t a stand user","","",""
"Sayings, idioms and colloquialisms #5","","",""
"bill gates as superman","","",""
"What The End Of The World Will Look Like","","",""
"Darth Vader ordering at McDonald's","","",""
"Cartoon Seinfeld est.1930","","",""
"wombats painted by matisse","","",""
"Do you believe in God?","","",""
"Photograph of a sumo wrestling sloth","","",""
"queen elizabeth surfing with an alligator","","",""
"Danny devito trail cam footage","","",""
"goth kids at the county fair","","",""
"Joseph Stalin Happy Meal Toy","","",""
"Captain Kirk with a Mohawk","","",""
"Jesus singing on Euvovision","","",""
"capybara doing pull up","","",""
"Death Grips At Tiananmen Square","","",""
"titles are hard.","","",""
"""I am your oppa.""","","",""
"WALL-E by DALL-E, but happy in a forest with a cockroach","","",""
"Courtroom sketch of Playboi Carti suing a New York rat","","",""
"Pope in a WWE SMACKDOWN","","",""
"Assassin's Creed: Voldemort","","",""
"Scientific diagram of fruit salad","","",""
"Darth Vader In A Seinfeld Episode","","",""
"Gave this a try lol","","",""
"Bop to the Top🎶","","",""
"Patent Drawing of Ted Cruz","","",""
"RIP Hamburglar","","",""
"this explains a lot","","",""
"teddy bears doing a podcast","","",""
"Batman in a field at golden hour with an out of focus background","","",""
"Astronaut","","",""
"MyPillow!","","",""
"Cancer cell as an Adventure Time character","","",""
"I think it cheats at Tic Tac Toe","","",""
"pin-up panda bears","","",""
"Bernie Sanders posing with sonic the hedgehog","","",""
"The Afterlife","","",""
"Angela Merkel shaking hands with Kim Jon Un","","",""
"Isabella of Spain eating pizza","","",""
"Morbidly obese anime catgirl smoking cigarette while riding moped at sunset","","",""
"John Cena eating a watermelon","","",""
"Snoop Dogg joins The Manson Family","","",""
"Ask creepy questions, get creepy answers","","",""
"George Washington accepting his Kids Choice Award","","",""
"Blobfish burger buns","","",""
"only one of them are smiling","","",""
"He seems to have been made to suffer...","","",""
"Someone who loves me (edited for joke)","","",""
"police sketch of tony hawk eating a tomato","","",""
"melon","","",""
"Goofy self-immolating","","",""
"Gibby fighting Darth Vader on Mustafar","","",""
"kim yong-un in Dancing with the stars","","",""
"Jerusalem Lego Set","","",""
"The Smurfs WWE entrance","","",""
"ALL GLORY TO THE HYPNOTOAD!","","",""
"Space shuttle launch in breath of the wild","","",""
"Bill Gates with lobster hands","","",""
"Tiger Woods eating spaghetti","","",""
"Boris Johnson in club penguin","","",""
"Till Lindemann reading the Necronomicon to Children","","",""
"Chair smiling","","",""
"bigfoot foot lettuce","","",""
"Kermit knocks out Tyson","","",""
"Mark Zuckerburg with Aliens","","",""
"Oh...Ok, im sorry","","",""
"Fisher Price my first guillotine","","",""
"Minion committing arson","","",""
"Snoop stars on Beavis and Butthead","","",""
"Mister Rogers showing his mahjong pieces","","",""
"Balrog eating at a fancy restaurant","","",""
"Voldemort Clash Royale Card","","",""
"Cortana, how many tablespoons are in a cup?","","",""
"I can't believe it took me this long to think of illuminated manuscripts...","","",""
"A bear in a grocerey shopping for food","","",""
"Barney caught by border patrol","","",""
"morbidly obese blobfish","","",""
"Max Rebo Jeopardy","","",""
"One, two, Kermit's coming for you...","","",""
"Godzilla Smoking Crack","","",""
"Shrek playing in NHL","","",""
"donald trump playing baseball","","",""
"Hank Hill on trial for murder courtroom sketch","","",""
"Quinceañera at Trader Joe’s (inspired by funeral at Whole Foods)","","",""
"The Muppets improve every film they're put into, so this should be awesome...","","",""
"Saul Goodman Metal Gear Rising","","",""
"Osama Bin Laden playing basketball","","",""
"""first alien president of the united states""","","",""
"Daenerys Targaryen riding a capybara","","",""
"Jotaro's gonna be sentenced for something else very soon","","",""
"Donald Trump with Darth Vader","","",""
"Mt Fuji behind the US Capitol","","",""
"sloth crossfit champion","","",""
"Elton John painted by Leonardo da Vinci","","",""
"Playboy magazine with a cat on the cover","","",""
"the Twin Towers as a Mario Kart track","","",""
"Elon Musk Vaporwave","","",""
"Barbie Mothership (by me)","","",""
"Darth Vader Fisher Price Phone","","",""
"Hank Hill growing Marijuana in a garage","","",""
"Xenomorph riding a hoverboard","","",""
"Catholic Lego sets.","","",""
"Ozzy Osbourne cabbages","","",""
"Spanish inquisition in front of the Whitehouse","","",""
"Man eating a tesseract","","",""
"🗿 🗿🗿🗿🗿","","",""
"Lisa Frank Urinal","","",""
"Cockpit view of 9/11","","",""
"Weird how some are strangely realistic but the others didn’t add them at all","","",""
"Vegeta Frida Kahlo","","",""
"Dall-e paints Dali","","",""
"Do you hear the Muppets sing? Singing a song of angry felt!","","",""
"Cthulhu Ming Vase","","",""
"Muppets in Vietnam","","",""
"Mitch McConnell eating pizza on the beach","","",""
"Emperor Zurg presenting at a middle school assembly","","",""
"fisher price ak47","","",""
"Chicken nuggets reading books","","",""
"Gay frogs wedding","","",""
"my little pony medieval torture device","","",""
"Jabba the Hut Hosting The Price Is Right","","",""
"Larry King Picking Up a Prostitute in Skid Row","","",""
"love is girls or cats it seems","","",""
"Byzantine icon of Col. Sanders","","",""
"great white sharks in a bathtub","","",""
"Memes","","",""
"Mother Teresa Funko Pop figure","","",""
"monkeys playing golf","","",""
