"post","author","comment","upvotes"
"Gaten Matarazzo mugshot","","",""
"Dall-E Outrun Bob Ross","","",""
"Stephen Hawking dunking (cursed)","","",""
"Girlboss Drone Strike","","",""
"Millie Bobby Brown using a barbeque","","",""
"Cloud from Final Fantasy at McDonald's","","",""
"Morbius Eating Beans","","",""
"Father Christmas playing the bagpipes on mars","","",""
"Satan on Sesame Street","","",""
"Mortal Kombat in the style of Eric Carle","","",""
"Ted Cruz wearing a gay pride shirt and makeup","","",""
"Elmos at the Last Supper","","",""
"Sus","","",""
"Yiff the 3rd reich","","",""
"Sid Vicious in Goya’s black paintings","","",""
"Ozzy Osbourne eating a bat at a concert","","",""
"Danny DeVito leading a sermon in a Catholic Church","","",""
"Plankton from Spongebob in a snowglobe","","",""
"Donald Trump Hugging Anime Girl","","",""
"Adam Sandler pitching on Shark Tank","","",""
"Bad toys","","",""
"XQC looking through the shining door","","",""
"Gordon Freeman 9/11","","",""
"Shrek wins the WWE championship","","",""
"Noir Film Poster featuring Shrek","","",""
"lisa frank creepypasta","","",""
"Among Us crucifix","","",""
"I've got no work done today","","",""
"Carl Sagan in a slow cooker","","",""
"Darth Vader and his gaming set-up","","",""
"Thomas the Tank Engine at the twin towers","","",""
"Kim Kardashian wearing the Shroud of Turin as a dress","","",""
"Karl Marx and Lenin dancing at a club","","",""
"Kung Fu Panda storming the trenches with flamethrower","","",""
"trail cam Richard Simmons","","",""
"The Vitruvian Squidward","","",""
"JK Rowling being gagged with the trans pride flag","","",""
"Dr. Eggman at the McDonalds Drive Through","","",""
"Joe Biden and Shrek on Mustafar","","",""
"Hulk Hogan jumping on a trampoline in a tutu","","",""
"Harry Potter in Justice League","","",""
"Surfing bullfrog","","",""
"Steve Urkel having an acid trip at Joshua Tree","","",""
"Steve Harvey on Miss Universe with Handsome Squidward","","",""
"backroom entity drinking tea in a little house","","",""
"Mrs Doubtfire on drag race","","",""
"Many ears","","",""
"The Grinch meeting Kermit the frog","","",""
"Paul Hollywood in Grand Theft Audo (twitter @klaus_kinski)","","",""
"Hagrid arrested on arson charges","","",""
"Pokemon Roller Coaster","","",""
"Bernie Sanders as a Street Fighter character","","",""
"mark hamill doing a tik tok dance","","",""
"Even Jesus can't resist a good meme","","",""
"Vampire Carl Sagan on a picnic","","",""
"Minions playing with meat grinder in kitchen","","",""
"Minecraft anime","","",""
"Gandalf and Frodo in World of Warcraft","","",""
"Koala playing a didgeridoo at Ayers rock","","",""
"Star Wars Final Supper","","",""
"Cobra Commander shaking hands with Hitler","","",""
"Giraffes playing poker","","",""
"Chef Gordon Ramsey feeds a monkey","","",""
"Saul Goodman lightsaber battle against George Bush","","",""
"burrito shoe","","",""
"t-rex storming normandy beach on d-day","","",""
"Among us on a court hearing","","",""
"Shaq going to a family guy drive in movie theater","","",""
"Napoleon Backflip","","",""
"Saul goodman driving a Subaru Impreza WRX STI","","",""
"Walter White in a war trench fisheye lens","","",""
"Borat giving a speech in the nuremberg rallies","","",""
"WikiHow to get Kim Jong-un’s haircut","","",""
"Goofy driving a golf cart into the ocean","","",""
"Cripfield","","",""
"Dachshund Soviet propaganda","","",""
"Blues Brothers on Sesame Street","","",""
"Stephen Hawking playing the guitar","","",""
"Gandalf flossing his teeth (he’s not very good at it tbh)","","",""
"Parappa the Rapper filing his taxes","","",""
"Elizabeth II licking chili pepper","","",""
"nardwuar interviewing jay jay the jet plane","","",""
"Nuremberg trials spongebob","","",""
"yoda at ceilidh","","",""
"They see me Rollin...","","",""
"James harden in the backrooms","","",""
"Nazi concentration camp lego set","","",""
"These prices are Helter Skelter!","","",""
"Squidward on a chair","","",""
"JC on ice","","",""
"Steve from Minecraft at the World Trade Center","","",""
"Hitler anime girl","","",""
"Courtroom sketch of Spongebob testifying","","",""
"Macho Man Randy Cabbage","","",""
"Perfectly balanced, as all things should be","","",""
"More popular than Jesus, john said a long time ago","","",""
"Stuart Little at a frat party","","",""
"Alucard dancing at a night club","","",""
"LEGO Schindler's List","","",""
"Eeyor","","",""
"Grenade filled with baked beans","","",""
"Orange cosplaying as a banana","","",""
"""Weird Al"" Yankovic in the movie Scream","","",""
"Miles Edgeworth playing basketball against Phoenix Wright","","",""
"Jerry Garcia drawn by Picasso","","",""
"lego josh duggar trial","","",""
"Classroom Sketch of Ray Comfort Holding a Banana","","",""
"Zeus and Hercules at Dr Phil","","",""
"he'll deliver you a war","","",""
"hide the pain Harold at disco","","",""
"Capybara John Lennon","","",""
"Hare Krishna in a PT Cruiser","","",""
"Jesus Crucifixion (Anime)","","",""
"Kermit The Frog destroys NY","","",""
"Alien with a party hat playing a Theremin","","",""
"Born to perform","","",""
"Cops eatin' slop","","",""
"Big Chungus in Walmart","","",""
"Harry Potter antifa propaganda","","",""
"Chuck E Cheese as a UFC Fighter","","",""
"puppy clown","","",""
"Olaf Scholz delivers heavy weapons to Ukraine.","","",""
"Chernobyl lego set","","",""
"He wants to talk about HIS side of the story.","","",""
"CCTV footage of Rodan from Godzilla robbing a bank","","",""
"Darth Vader as a contestant on MasterChef","","",""
"Wikihow image of Waluigi holding a knife","","",""
"Jimmy Saville Children’s pop up book","","",""
"kebab man","","",""
"hello kitty in half life alyx","","",""
"Hillary Clinton dancing with Madonna cartoon","","",""
"9/11 as a fortnite event","","",""
"CCTV footage of Rodan from Godzilla robbing a bank","","",""
"Saint Peter Dakimakura","","",""
"Bald Queen Elizabeth II","","",""
"the minions in the vietnam war","","",""
"Steve Buscemi YouTube makeup tutorial","","",""
"fursuiter lost in a sewer system","","",""
"Pale man eating ice cream","","",""
"RedFoo at a furry convention","","",""
"Karl Marx picrew","","",""
"Master Yoda climbing the Empire State","","",""
"Cardinal de Richelieu eating at Taco Bell","","",""
"Elton John kissing Paul McCartney","","",""
"Donald Trump in GTA V loading screen","","",""
"The band KISS illustrated in a Dr. Seuss book","","",""
"A meeting with the pope","","",""
"Shrek during a night raid in Syria in night vision","","",""
"god playing ukulele","","",""
"Wall-e goes shopping","","",""
"Obi Wan Kenobi Buying Groceries","","",""
"Shadow the hedgehog with Jesus at the last supper","","",""
"Ronaldo making pizza with Putin","","",""
"Sink in a sinkhole","","",""
"James harden diving into a pool","","",""
"Joker doing asmr on twitch","","",""
"Link on Adventure Time","","",""
"Shrek on a date with Pyramid Head.","","",""
"nicholas cage working at pizza hut","","",""
"Kratos speech at the UN","","",""
"Elton John Stepping on Sand Castles","","",""
"The Attack on Pearl Harbor by Thomas Kinkade","","",""
"Jar Jar Binks Mona Lisa","","",""
"Nagasaki bombing LEGO set","","",""
"The joker musical","","",""
"Bolsonaro marries RuPaul","","",""
"Out in the rain","","",""
"steve harvey gta loading screen","","",""
"Reigen Arataka on a death metal album cover","","",""
"Emperor Zurg in line at the grocery store","","",""
"Xenomorph on British Bake Off","","",""
"Ghostface in fortnite","","",""
"General Grievous fights Adolf Hitler in Amsterdam","","",""
"Okay, this is epic","","",""
"Among us but as humans","","",""
"CCTV footage of Penguis of Madagascar hiding a dead body","","",""
"Anatomical diagram poster of Mr. Potato Head","","",""
"Fisher Price shotgun","","",""
"Steve (sorry if this was already)","","",""
"Elmo doing skydiving","","",""
"Wall-e eating donkey kongs bananas","","",""
"Dwayne the rock Johnson as a boulder","","",""
"Evil ice cream propaganda","","",""
"Nuremberg Trials Lego set","","",""
"World leaders meeting Aliens","","",""
"Evil pope in black metal cover","","",""
"Batman hitting a bat with a bat","","",""
"Mr. Bean celebrating his Wimbledon victory","","",""
"Yaas slay","","",""
"bjork eating lena dunham","","",""
"DOOM","","",""
"Louis XIV of France in Play-Doh","","",""
"Hitler in fortnite (Not sure if we had this before)","","",""
"kermit the frog deadlifting","","",""
"Joe Biden doing Parkour","","",""
"Shrek as csgo championships","","",""
"Sirenhead at a rave","","",""
"Joe Biden Scream Painting","","",""
"Elon musk eating mashed potato","","",""
"Demogorgon from stranger things recording a mixtape in the recording studio","","",""
"Micheal Jackson playing Basketball","","",""
"Exclusive","","",""
"Stevie Wonder on American Ninja Warrior","","",""
"Handsome Squidward in Peaky Blinders","","",""
"Bowser in Dragon Ball Super","","",""
"This is delicious mom! What is it?","","",""
"This is not a guillotine","","",""
"Statue of steampunk Andre the Giant","","",""
"Mr Tumble destroying the Houses of Parliament","","",""
"Infant getting a tattoo","","",""
"vietnam war anime adaptation","","",""
"Osama Bin Laden in a pride parade","","",""
"Lego Capitol riot","","",""
"Batman hitting a bat with a bat","","",""
"Elmo in Pulp Fiction","","",""
"Jabba the hut testifying in court","","",""
"Jesus fighting make a wish kid","","",""
"Alf on an 80’s baseball card","","",""
"Girl streamer in hot tub Lego set","","",""
"walter white in clash royale","","",""
"The Last Supper catered by McDonald's","","",""
"Kermit the drug addict begs for money on the streets of London","","",""
"Tic Tac Toe","","",""
"Harambe accepting an Oscar","","",""
"Tinky Winky water birth","","",""
"Barack Obama on The Simpons","","",""
"ace ventura crashing into the twin towers","","",""
"Tiananmen square lego set","","",""
"Gordon Ramsay making Nemo from Finding Nemo into Sushi","","",""
"Harriet Tubman running the 40 yard dash","","",""
"A child of Chewbacca and Furby","","",""
"Marvin the Martian in the akatsuki","","",""
"Queen Elizabeth II in goth makeup","","",""
"jesus as a contestant on americas got talent","","",""
"Lego Cruxifixction","","",""
"The last human alive","","",""
"Civil War documentary anime","","",""
"Clowns in the white house","","",""
"Evangelion did 9/11","","",""
"Megamind in washing machine","","",""
"Megamind trail cam","","",""
"Christopher Nolan eating at Subway","","",""
"Jack Harlow rapping in a toilet","","",""
"Stalin in the video game ""Life is Strange""","","",""
"Master Chief anime body pillow","","",""
"Cthulhu talking to a therapist","","",""
"Jesus Christ and Walter White on GTA San Andreas loading screen","","",""
"Pope and Ronald McDonald baptism","","",""
"Barn Swallow with an AK47","","",""
"Hulk hogan carved out of marble","","",""
"Space Cat","","",""
"Gender Reveal at Tiananmen Square","","",""
"Tinky Winky gambling in las vegas","","",""
"id buy that","","",""
"Mario crucified","","",""
"Kim Petras as an Elden Ring character","","",""
"Fisheye lens Hatsune Miku as a fighter jet pilot","","",""
"Mike Ehrmantraut in finger painting class","","",""
"Hulk hogan dumpster diving","","",""
"Jesus the Necromancer","","",""
"E.T. on the great British bake off","","",""
"Take the gun, leave the cheese","","",""
"Wendy Williams at Taco Bell","","",""
"wayne gretzky shaking hands with crash bandicoot","","",""
"Steampunk Stephen hawking","","",""
